Key,English,Simplified_Chinese
PROPITEMETC_INC_000302,Drakorin Set,Drakorin Set
PROPITEMETC_INC_000303,Drakoria Set,Drakoria Set
PROPITEMETC_INC_000304,Bileire Set,Bileire Set
PROPITEMETC_INC_000305,Bilari Set,Bilari Set
PROPITEMETC_INC_000306,Heraud Set,Heraud Set
PROPITEMETC_INC_000307,Herainn Set,Herainn Set
PROPITEMETC_INC_000308,Curio Set,Curio Set
PROPITEMETC_INC_000309,Curena Set,Curena Set
PROPITEMETC_INC_000310,Hainure Set,Hainure Set
PROPITEMETC_INC_000311,Hanira Set,Hanira Set
PROPITEMETC_INC_000312,Reine Set,Reine Set
PROPITEMETC_INC_000313,Rayne Set,Rayne Set
PROPITEMETC_INC_000314,Roenier Set,Roenier Set
PROPITEMETC_INC_000315,Roelayne Set,Roelayne Set
PROPITEMETC_INC_000316,Reffiro Set,Reffiro Set
PROPITEMETC_INC_000317,Rephira Set,Rephira Set
PROPITEMETC_INC_000318,Lippin Set,Lippin Set
PROPITEMETC_INC_000319,Lypine Set,Lypine Set
PROPITEMETC_INC_000320,FWC Golden Bileire Set,FWC Golden Bileire Set
PROPITEMETC_INC_000321,FWC Golden Bilari Set,FWC Golden Bilari Set
PROPITEMETC_INC_000322,FWC Golden Heraud Set,FWC Golden Heraud Set
PROPITEMETC_INC_000323,FWC Golden Herainn Set,FWC Golden Herainn Set
PROPITEMETC_INC_000324,FWC Golden Curio Set,FWC Golden Curio Set
PROPITEMETC_INC_000325,FWC Golden Curena Set,FWC Golden Curena Set
PROPITEMETC_INC_000326,FWC Golden Hainure Set,FWC Golden Hainure Set
PROPITEMETC_INC_000327,FWC Golden Hanira Set,FWC Golden Hanira Set
PROPITEMETC_INC_000328,FWC Golden Reine Set,FWC Golden Reine Set
PROPITEMETC_INC_000329,FWC Golden Rayne Set,FWC Golden Rayne Set
PROPITEMETC_INC_000330,FWC Golden Roenier Set,FWC Golden Roenier Set
PROPITEMETC_INC_000331,FWC Golden Roelayne Set,FWC Golden Roelayne Set
PROPITEMETC_INC_000332,FWC Golden Reffiro Set,FWC Golden Reffiro Set
PROPITEMETC_INC_000333,FWC Golden Rephira Set,FWC Golden Rephira Set
PROPITEMETC_INC_000334,FWC Golden Lippin Set,FWC Golden Lippin Set
PROPITEMETC_INC_000335,FWC Golden Lypine Set,FWC Golden Lypine Set
PROPITEMETC_INC_000336,FWC 2025 Bloody Death Messenger’s Set (Winners),FWC 2025 Bloody Death Messenger’s Set (Winners)
PROPITEMETC_INC_000337,FWC 2025 Golden Death Messenger’s Set (Finalists),FWC 2025 Golden Death Messenger’s Set (Finalists)
PROPITEMETC_INC_000338,Runthiel Set,Runthiel Set
PROPITEMETC_INC_000339,Runthien Set,Runthien Set
PROPITEMETC_INC_000340,Rethanor Set,Rethanor Set
PROPITEMETC_INC_000341,Rethanar Set,Rethanar Set
PROPITEMETC_INC_000342,Zendric Set,Zendric Set
PROPITEMETC_INC_000343,Zendricar Set,Zendricar Set
PROPITEMETC_INC_000344,Khorviel Set,Khorviel Set
PROPITEMETC_INC_000345,Khorvien Set,Khorvien Set
PROPITEMETC_INC_000346,Zaythor Set,Zaythor Set
PROPITEMETC_INC_000347,Zaythar Set,Zaythar Set
PROPITEMETC_INC_000348,Vornithic Set,Vornithic Set
PROPITEMETC_INC_000349,Vornithicar Set,Vornithicar Set
PROPITEMETC_INC_000350,Dornith Set,Dornith Set
PROPITEMETC_INC_000351,Dornyth Set,Dornyth Set
PROPITEMETC_INC_000352,Quostrel Set,Quostrel Set
PROPITEMETC_INC_000353,Quostren Set,Quostren Set
PROPITEMETC_INC_000354,Chyrelle Set,Chyrelle Set
PROPITEMETC_INC_000355,Chyrella Set,Chyrella Set
PROPITEMETC_INC_000356,Noltrave Set,Noltrave Set
PROPITEMETC_INC_000357,Noltrava Set,Noltrava Set
PROPITEMETC_INC_000358,Frodral Set,Frodral Set
PROPITEMETC_INC_000359,Frodrel Set,Frodrel Set
PROPITEMETC_INC_000360,Treviron Set,Treviron Set
PROPITEMETC_INC_000361,Treviran Set,Treviran Set
PROPITEMETC_INC_000362,Lenvire Set,Lenvire Set
PROPITEMETC_INC_000363,Lenvira Set,Lenvira Set
PROPITEMETC_INC_000364,Ordelin Set,Ordelin Set
PROPITEMETC_INC_000365,Ordelyn Set,Ordelyn Set
PROPITEMETC_INC_000366,Tracien Set,Tracien Set
PROPITEMETC_INC_000367,Tracior Set,Tracior Set
PROPITEMETC_INC_000368,Lorvenic Set,Lorvenic Set
PROPITEMETC_INC_000369,Lorvenicar Set,Lorvenicar Set
PROPITEMETC_INC_000370,Etranor Set,Etranor Set
PROPITEMETC_INC_000371,Etranar Set,Etranar Set
PROPITEMETC_INC_000372,Lyzarel Set,Lyzarel Set
PROPITEMETC_INC_000373,Lyzaren Set,Lyzaren Set
PROPITEMETC_INC_000374,Exiran Set,Exiran Set
PROPITEMETC_INC_000375,Exiren Set,Exiren Set
PROPITEMETC_INC_000376,Haskrel Set,Haskrel Set
PROPITEMETC_INC_000377,Haskren Set,Haskren Set
PROPITEMETC_INC_000378,Kevric Set,Kevric Set
PROPITEMETC_INC_000379,Kevricar Set,Kevricar Set
PROPITEMETC_INC_000380,Brakiven Set,Brakiven Set
PROPITEMETC_INC_000381,Brakivar Set,Brakivar Set
PROPITEMETC_INC_000382,Zorect Set,Zorect Set
PROPITEMETC_INC_000383,Zoracet Set,Zoracet Set
PROPITEMETC_INC_000384,Sholthar Set,Sholthar Set
PROPITEMETC_INC_000385,Sholtharen Set,Sholtharen Set
PROPITEMETC_INC_000386,Ustamel Set,Ustamel Set
PROPITEMETC_INC_000387,Ustamen Set,Ustamen Set
PROPITEMETC_INC_000388,Obbric Set,Obbric Set
PROPITEMETC_INC_000389,Obbricar Set,Obbricar Set
PROPITEMETC_INC_000390,Yrenoth Set,Yrenoth Set
PROPITEMETC_INC_000391,Yrenath Set,Yrenath Set
PROPITEMETC_INC_000392,Vostran Set,Vostran Set
PROPITEMETC_INC_000393,Vostren Set,Vostren Set
PROPITEMETC_INC_000394,Virashon Set,Virashon Set
PROPITEMETC_INC_000395,Verashan Set,Verashan Set
PROPITEMETC_INC_000396,Menicor Set,Menicor Set
PROPITEMETC_INC_000397,Maenicar Set,Maenicar Set
PROPITEMETC_INC_000398,Tremiel Set,Tremiel Set
PROPITEMETC_INC_000399,Tramien Set,Tramien Set
PROPITEMETC_INC_000400,Calthien Set,Calthien Set
PROPITEMETC_INC_000401,Calthior Set,Calthior Set
