Key,English
PROPSKILL_TXT_000065,A powerful slashing attack that hits all surrounding enemies. Requires two weapons.
PROPSKILL_TXT_000066,Berserk
PROPSKILL_TXT_000067,Increases Attack Speed and striking power at the cost of reduced skill damage.
PROPSKILL_TXT_000068,Heal
PROPSKILL_TXT_000069,Recovers the target's HP.
PROPSKILL_TXT_000070,Temping Hole
PROPSKILL_TXT_000071,A powerful straight punch.
PROPSKILL_TXT_000072,Resurrection
PROPSKILL_TXT_000073,Resurrects a dead player.
PROPSKILL_TXT_000074,Patience
PROPSKILL_TXT_000075,Increases the target's maximum HP.
PROPSKILL_TXT_000076,Prevention
PROPSKILL_TXT_000077,Automatically recovers your HP when it falls below a certain threshold.
PROPSKILL_TXT_000078,Heap Up
PROPSKILL_TXT_000079,Increases the target's STA.
PROPSKILL_TXT_000080,Cannon Ball
PROPSKILL_TXT_000081,Increases the target's DEX.
PROPSKILL_TXT_000082,Circle Healing
PROPSKILL_TXT_000083,Heals nearby party members.
PROPSKILL_TXT_000084,Mental Sign
PROPSKILL_TXT_000085,Increases the target's INT.
PROPSKILL_TXT_000086,Beef Up
PROPSKILL_TXT_000087,Increases the target's STR.
PROPSKILL_TXT_000088,Burst Crack
PROPSKILL_TXT_000089,"Pounds the ground, damaging enemies around you."
PROPSKILL_TXT_000090,Stonehand
PROPSKILL_TXT_000091,Grants all attacks a chance to stun.
PROPSKILL_TXT_000092,Quick Step
PROPSKILL_TXT_000093,Increases the target's movement speed.
PROPSKILL_TXT_000094,Cat's Reflex
PROPSKILL_TXT_000095,Increases the target's block rate.
PROPSKILL_TXT_000096,Accuracy
PROPSKILL_TXT_000097,Increases the target's accuracy.
PROPSKILL_TXT_000098,Power Fist
PROPSKILL_TXT_000099,Strikes the enemy three times with concentrated power.
PROPSKILL_TXT_000100,Haste
PROPSKILL_TXT_000101,Increases the target's Attack Speed and Casting Speed.
PROPSKILL_TXT_000102,Heal Rain
PROPSKILL_TXT_000103,Heals nearby party members with powerful restorative energy.
PROPSKILL_TXT_000104,Holycross
PROPSKILL_TXT_000105,Causes the next hit against the target to deal double damage.
PROPSKILL_TXT_000106,Protect
PROPSKILL_TXT_000107,Increases the target's Defense and Magic Resistance.
PROPSKILL_TXT_000108,Holyguard
PROPSKILL_TXT_000109,Protects the target from incoming critical hits for a limited time.
PROPSKILL_TXT_000110,Spirit Fortune
PROPSKILL_TXT_000112,Gvur Tialla
PROPSKILL_TXT_000113,Removes debuffs from the target.
PROPSKILL_TXT_000114,Geburah Tiphreth
PROPSKILL_TXT_000115,"Draws upon the inner strength of the user and nearby party members, increasing Attack, Attack Speed and Casting Speed for a limited time."
PROPSKILL_TXT_000116,Merkaba Hanzelrusha
PROPSKILL_TXT_000117,Summons a lingering effect that deals damage over time to enemies within its area.
PROPSKILL_TXT_000118,Belial Smashing
PROPSKILL_TXT_000119,Strikes the enemy with five powerful blows.
PROPSKILL_TXT_000120,Piercing Serpent
PROPSKILL_TXT_000121,Fires a piercing beam at the enemy.
PROPSKILL_TXT_000122,Blood Fist
PROPSKILL_TXT_000123,Strikes the enemy with a heavy blow that causes bleeding.
PROPSKILL_TXT_000124,Sonichand
PROPSKILL_TXT_000125,"A fast, straight punch."
PROPSKILL_TXT_000126,Asmodeus
PROPSKILL_TXT_000127,Enhances the power of the wielded knuckle.
PROPSKILL_TXT_000128,Baraqijal Esna
PROPSKILL_TXT_000129,Increases damage dealt to the target while also increasing their Attack.
PROPSKILL_TXT_000130,Bgvur Tialbold
PROPSKILL_TXT_000131,Strikes nearby enemies with an outward shockwave.
PROPSKILL_TXT_000132,Asalraalaikum
PROPSKILL_TXT_000133,A fully concentrated strike. Always consumes 100% MP.
PROPSKILL_TXT_000134,Flame Ball
PROPSKILL_TXT_000135,Strikes the enemy with a ball of flame that may reduce the target's HP Restoration.
PROPSKILL_TXT_000136,Flame Geyser
PROPSKILL_TXT_000137,"Engulfs the enemy in a geyser of flame, dealing damage over time."
PROPSKILL_TXT_000138,Swordwind
PROPSKILL_TXT_000140,Strongwind
PROPSKILL_TXT_000141,A ranged wind attack that pushes the enemy back.
PROPSKILL_TXT_000142,Blinkpool
PROPSKILL_TXT_000143,Teleports you to a target point within range.
PROPSKILL_TXT_000144,Ice Missile
PROPSKILL_TXT_000145,Blasts the enemy with a missile of ice that may reduce the target's speed.
PROPSKILL_TXT_000146,Lightning Ball
PROPSKILL_TXT_000147,Damages the enemy with a ball of static that may reduce the target's defense.
PROPSKILL_TXT_000148,Stone Spike
PROPSKILL_TXT_000149,Damages the enemy with a stone spike that may stun.
PROPSKILL_TXT_000150,Mental Strike
PROPSKILL_TXT_000151,A medium-ranged mental attack.
PROPSKILL_TXT_000152,Fire Strike
PROPSKILL_TXT_000153,"Blasts the enemy with a ball of fire, setting them ablaze and making them more susceptible to water attacks."
PROPSKILL_TXT_000154,Wind Cutter
PROPSKILL_TXT_000155,"Slices the enemy with cutting winds, leaving them exposed and more susceptible to fire attacks."
PROPSKILL_TXT_000156,Waterball
PROPSKILL_TXT_000157,A water attack that shoots multiple water orbs at the target.
PROPSKILL_TXT_000158,Water Well
PROPSKILL_TXT_000159,"Soaks the enemy with rushing water, making them more susceptible to electricity attacks."
PROPSKILL_TXT_000160,Lightning Ram
PROPSKILL_TXT_000161,Damages the enemy with an electric ball.
PROPSKILL_TXT_000162,Lightning Shock
PROPSKILL_TXT_000163,"Blasts the enemy with a ball of lightning, electrifying them and making them more susceptible to earth attacks."
PROPSKILL_TXT_000164,Rock Crash
PROPSKILL_TXT_000165,"Crushes the enemy with a massive stone, making them more susceptible to wind attacks."
PROPSKILL_TXT_000166,Rooting
PROPSKILL_TXT_000167,"Binds the enemy with roots, immobilizing them."
PROPSKILL_TXT_000168,Demonology
PROPSKILL_TXT_000169,Damages the enemy with a mental blast that reduces their Attack.
PROPSKILL_TXT_000170,Satanology
PROPSKILL_TXT_000172,Psychic Bomb
PROPSKILL_TXT_000173,Damages the enemy with a ball of mental energy.
PROPSKILL_TXT_000174,Psychic Wall
PROPSKILL_TXT_000175,"Conjures a mystic wall at your location. On enemy contact, the wall pushes them back, reduces their movement speed, and deals minor damage."
PROPSKILL_TXT_000176,Spirit Bomb
PROPSKILL_TXT_000177,Damages the enemy through the power of your mind.
PROPSKILL_TXT_000178,Crucio Spell
PROPSKILL_TXT_000179,Reflects damage from the enemy's basic attacks. Less effective in PvP.
PROPSKILL_TXT_000180,Maximum Crisis
PROPSKILL_TXT_000181,"Unleashes a powerful mental explosion that damages surrounding enemies, with a small chance to stun."
PROPSKILL_TXT_000182,Psychic Square
PROPSKILL_TXT_000183,Damages the target enemy and enemies surrounding them with a psychic blast.
PROPSKILL_TXT_000184,Firebird
PROPSKILL_TXT_000185,Launches a fiery projectile that engulfs the enemy in towering flames.
PROPSKILL_TXT_000186,Fire Mastery
PROPSKILL_TXT_000187,Enhances the power of Fire spells.
PROPSKILL_TXT_000190,Lightning Strike
PROPSKILL_TXT_000191,Calls down a devastating bolt of lightning upon the enemy.
PROPSKILL_TXT_000192,Lightning Mastery
PROPSKILL_TXT_000193,Enhances the power of Electric spells.
PROPSKILL_TXT_000194,Electric Shock
PROPSKILL_TXT_000195,"Unleashes converging bolts of electricity that surge around surrounding enemies, damaging them and reducing their Magic Resistance."
PROPSKILL_TXT_000196,Stone Spear
PROPSKILL_TXT_000197,"Hurls a spear of stone that shatters on impact, blasting the enemy with flying stone fragments."
PROPSKILL_TXT_000198,Earth Mastery
PROPSKILL_TXT_000199,Enhances the power of Earth spells.
PROPSKILL_TXT_000200,Earthquake
PROPSKILL_TXT_000201,"Shatters the ground beneath the target enemy and surrounding enemies, sending chunks of earth flying outward, with a chance to reduce their Attack."
PROPSKILL_TXT_000202,Iceshark
PROPSKILL_TXT_000203,"Fires an icy projectile that explodes on impact, bursting outward in freezing shards."
PROPSKILL_TXT_000204,Water Mastery
PROPSKILL_TXT_000205,Enhances the power of Water spells.
PROPSKILL_TXT_000206,Poison Cloud
PROPSKILL_TXT_000207,"Summons a poisonous cloud above the target enemy, raining toxins that poison the target enemy and surrounding enemies over time."
PROPSKILL_TXT_000208,Void
PROPSKILL_TXT_000209,Creates a powerful vacuum that crushes the enemy.
PROPSKILL_TXT_000210,Wind Mastery
PROPSKILL_TXT_000211,Enhances the power of Wind spells.
PROPSKILL_TXT_000212,Windfield
PROPSKILL_TXT_000213,"Summons a field of cutting winds beneath the target enemy, damaging the target enemy and surrounding enemies, with a chance to reduce their movement speed."
PROPSKILL_TXT_000214,Meteo Shower
PROPSKILL_TXT_000215,Calls down a shower of meteors that strike the target enemy and surrounding enemies.
PROPSKILL_TXT_000216,Lightning Storm
PROPSKILL_TXT_000217,"Summons a raging lightning storm that strikes the target enemy and surrounding enemies, with a chance to reduce Critical Damage."
PROPSKILL_TXT_000218,Sandstorm
PROPSKILL_TXT_000219,"Engulfs the target enemy and surrounding enemies in a violent sandstorm, with a chance to reduce their accuracy."
PROPSKILL_TXT_000220,Blizzard
PROPSKILL_TXT_000221,"Summons a freezing blizzard on the target enemy, striking the target enemy and surrounding enemies, with a chance to stun."
PROPSKILL_TXT_000222,Yo-Yo Mastery
PROPSKILL_TXT_000223,Increases damage dealt with Yo-Yos.
PROPSKILL_TXT_000224,Bow Mastery
PROPSKILL_TXT_000225,Increases damage dealt with bows.
PROPSKILL_TXT_000226,Dark Illusion
PROPSKILL_TXT_000227,Turns you invisible for a short time.
PROPSKILL_TXT_000228,Junk Arrow
PROPSKILL_TXT_000229,"Fires multiple volleys of arrows wildly at the enemy, some of which may miss."
PROPSKILL_TXT_000230,Fast Walker
PROPSKILL_TXT_000231,Increases movement speed for a short time.
PROPSKILL_TXT_000232,Aimed Shot
PROPSKILL_TXT_000233,"A slow, carefully aimed shot with a chance to deal double damage."
PROPSKILL_TXT_000234,Slow Step
PROPSKILL_TXT_000235,An attack that may reduce the enemy's movement speed.
PROPSKILL_TXT_000236,Silent Shot
PROPSKILL_TXT_000237,A surprise attack that deals increased damage during Dark Illusion.
PROPSKILL_TXT_000238,Perfect Block
PROPSKILL_TXT_000239,Increases your Block.
PROPSKILL_TXT_000240,Arrow Rain
PROPSKILL_TXT_000241,"Rains down arrows on the target enemy and surrounding enemies, dealing damage over time."
PROPSKILL_TXT_000242,Cross Line
PROPSKILL_TXT_000243,A Yo-Yo strike with a chance to stun the enemy.
PROPSKILL_TXT_000244,Auto Shot
PROPSKILL_TXT_000245,"Fires multiple arrows at the enemy, with a chance to reduce their accuracy."
PROPSKILL_TXT_000246,Snatch
PROPSKILL_TXT_000247,Steals Penya from the target while under Dark Illusion. Must attack from behind.
PROPSKILL_TXT_000248,Counter Attack
PROPSKILL_TXT_000249,Assume a counterattack stance that nullifies the next close-range attack against you and stuns the attacker. You cannot perform other actions while in this stance.
PROPSKILL_TXT_000250,Deadly Swing
PROPSKILL_TXT_000251,A powerful Yo-Yo strike that may reduce the enemy's Attack Speed and Casting Speed.
PROPSKILL_TXT_000252,Pulling
PROPSKILL_TXT_000253,Pulls the target toward you using the Yo-Yo.
PROPSKILL_TXT_000254,Critical Swing
PROPSKILL_TXT_000255,Increases your Critical Chance and Block Penetration.
PROPSKILL_TXT_000256,Enchant Poison
PROPSKILL_TXT_000257,Imbues the Yo-Yo so attacks have a chance to inflict poison and increases Attack.
PROPSKILL_TXT_000258,Enchant Blood
PROPSKILL_TXT_000259,Imbues the Yo-Yo so attacks have a chance to inflict bleeding and increases Attack.
PROPSKILL_TXT_000260,Enchant Absorb
PROPSKILL_TXT_000261,Imbues the Yo-Yo so attacks have a chance to drain HP and increases Attack.
PROPSKILL_TXT_000262,Multi-Stab
PROPSKILL_TXT_000263,Strikes the enemy multiple times with the Yo-Yo.
PROPSKILL_TXT_000264,Hit of Penya
PROPSKILL_TXT_000265,Consumes your own Penya to strike the enemy with devastating force.
PROPSKILL_TXT_000266,Escape
PROPSKILL_TXT_000267,Removes all debuffs from yourself.
PROPSKILL_TXT_000268,Vital Stab
PROPSKILL_TXT_000269,A surprise attack that can only be used under Dark Illusion.
PROPSKILL_TXT_000270,Critical Shot
PROPSKILL_TXT_000271,Increases Critical Chance for a limited time.
PROPSKILL_TXT_000272,Ice Arrow
PROPSKILL_TXT_000273,"Shoots ice-covered arrows at the target enemy and surrounding enemies, reducing their movement speed."
PROPSKILL_TXT_000274,Flame Arrow
PROPSKILL_TXT_000275,"Fires a flame-imbued arrow that leaves a burning field at the impact point, dealing damage over time to enemies within it."
PROPSKILL_TXT_000276,Piercing Arrow
PROPSKILL_TXT_000277,Fires a powerful arrow that pierces through enemies in a line.
PROPSKILL_TXT_000278,Poison Arrow
PROPSKILL_TXT_000279,"Shoots a poison-tipped arrow at the enemy, inflicting poison damage over time."
PROPSKILL_TXT_000280,Silent Arrow
PROPSKILL_TXT_000281,Attacks the enemy and prevents them from casting spells.
PROPSKILL_TXT_000282,Nature
PROPSKILL_TXT_000283,"Attunes you to nature, heightening your senses to increase Magic Resistance and Bow Range."
PROPSKILL_TXT_000284,Triple Shot
PROPSKILL_TXT_000285,Fires a volley of arrows that stuns the target.
PROPSKILL_TXT_000286,Flash
PROPSKILL_TXT_000287,Blinded by the flash of light.
PROPSKILL_TXT_000288,Single Stun
PROPSKILL_TXT_000290,Stun Group
PROPSKILL_TXT_000291,You are stunned and cannot move.
PROPSKILL_TXT_000292,Damage
PROPSKILL_TXT_000294,Atk. Counter
PROPSKILL_TXT_000295,Attack just as an enemy attacks.
PROPSKILL_TXT_000296,Knockback
PROPSKILL_TXT_000297,Pushes the enemy back.
PROPSKILL_TXT_000298,Burningfield
PROPSKILL_TXT_000299,"Ignites the ground, creating a burning field that deals damage over time to enemies standing on it."
PROPSKILL_TXT_000300,Poison
PROPSKILL_TXT_000301,"You are poisoned, suffering damage over time and reduced HP Restoration."
PROPSKILL_TXT_000302,Stun
PROPSKILL_TXT_000303,You are stunned and cannot move.
PROPSKILL_TXT_000304,Bleeding
PROPSKILL_TXT_000305,"You are bleeding, suffering damage over time and reduced Attack Speed and Casting Speed."
PROPSKILL_TXT_000306,Steal HP
PROPSKILL_TXT_000307,Drains life from an enemy.
PROPSKILL_TXT_000308,Swordcross
PROPSKILL_TXT_000310,Poison Sting
PROPSKILL_TXT_000313,Damages an enemy over time.
PROPSKILL_TXT_000314,Chill of Death
PROPSKILL_TXT_000315,"You are chilled, suffering reduced Attack Speed and Casting Speed."
PROPSKILL_TXT_000319,You fainted.
PROPSKILL_TXT_000320,Krrr's Poison
PROPSKILL_TXT_000324,Berserker Mushroom
PROPSKILL_TXT_000325,Increases Attack and Attack Speed.
PROPSKILL_TXT_000326,Protective Tree Bark
PROPSKILL_TXT_000327,Reduces incoming damage by wrapping your body in tree bark.
PROPSKILL_TXT_000328,Buff Break
PROPSKILL_TXT_000330,Buff Break X
PROPSKILL_TXT_000350,Burn
PROPSKILL_TXT_000351,Damages the target continuously over time.
PROPSKILL_TXT_000380,Shield Bash
PROPSKILL_TXT_000381,"Strikes the target with your shield, with a chance to stun. Requires a shield."
PROPSKILL_TXT_000378,Grand Rage
PROPSKILL_TXT_000379,A powerful one-handed attack that recovers FP equal to 5% of the damage dealt.
PROPSKILL_TXT_000384,Heart of Fury
PROPSKILL_TXT_000385,Enhances combat ability at the cost of 1% of your maximum FP per strike. Damage is increased by 10% of your maximum FP. Requires a one-handed weapon.
PROPSKILL_TXT_100000,Moon Beam
PROPSKILL_TXT_100001,"Calls upon the moon to afflict the target, dealing damage over time and making them more susceptible to all incoming damage."
PROPSKILL_TXT_100002,Shade's Support
PROPSKILL_TXT_100003,Protects the monster from stun and rooting debuffs.
PROPSKILL_TXT_100004,Shade's Boost
PROPSKILL_TXT_100005,Increases the monster's movement speed.
PROPSKILL_TXT_100006,Dragon's Grace
PROPSKILL_TXT_100007,"Empowered by your dragon, gaining increased Attack."
PROPSKILL_TXT_100008,Lion's Grace
PROPSKILL_TXT_100009,"Empowered by your lion, gaining increased max HP."
PROPSKILL_TXT_100010,Tiger's Grace
PROPSKILL_TXT_100011,"Empowered by your tiger, gaining increased Critical Damage."
PROPSKILL_TXT_100012,Fox's Grace
PROPSKILL_TXT_100013,"Empowered by your fox, gaining increased Attack and Casting Speed."
PROPSKILL_TXT_100014,Rabbit's Grace
PROPSKILL_TXT_100015,"Empowered by your rabbit, gaining increased Speed."
PROPSKILL_TXT_100016,Griffin's Grace
PROPSKILL_TXT_100017,"Empowered by your griffin, taking reduced Incoming Damage."
PROPSKILL_TXT_100018,Unicorn's Grace
PROPSKILL_TXT_100019,"Empowered by your unicorn, gaining increased Block."
PROPSKILL_TXT_100020,Angel's Grace
PROPSKILL_TXT_100021,"Empowered by your angel, gaining increased Critical Damage."
PROPSKILL_TXT_100022,King Crab's Grace
PROPSKILL_TXT_100023,"Empowered by your king crab, gaining increased Block Penetration."
PROPSKILL_TXT_100024,Call of Fury
PROPSKILL_TXT_100025,Lets out a furious shout that forces the target enemy and surrounding enemies to focus their attacks on you.
PROPSKILL_TXT_100026,Heart of Sacrifice
PROPSKILL_TXT_100027,Redirects damage taken by the target player to yourself.
PROPSKILL_TXT_000392,Rending Entry
PROPSKILL_TXT_000393,"Blink to a target point, damaging nearby enemies with a chance to immobilize them. If an enemy is defeated by this attack, Rending Entry's cooldown is reset."
PROPSKILL_TXT_000394,Barrier of Life
PROPSKILL_TXT_000395,Grants the target a barrier that causes all incoming hits to be blocked for a short duration.
PROPSKILL_TXT_000430,Gravity Well
PROPSKILL_TXT_000431,Creates a gravity well at a target point that greatly slows enemies within the area.
PROPSKILL_TXT_000440,Eye of the Storm
PROPSKILL_TXT_000441,"Summons a violent storm around you that pushes enemies back on contact, forming a barrier that prevents enemies from approaching."
PROPSKILL_TXT_000424,Sury's Tenacity
PROPSKILL_TXT_000425,"Grants immunity to crowd control and increased incoming healing, but prevents skill usage."
PROPSKILL_TXT_000400,Jester's Blast
PROPSKILL_TXT_000401,"Plants a time bomb on the target enemy that explodes after a short delay, damaging the target enemy and surrounding enemies. Recasting the skill on the same target triggers an early detonation with reduced damage and range."
PROPSKILL_TXT_000402,Boomburst
PROPSKILL_TXT_000403,"Fires a long-range projectile that detonates on impact, knocking down the target enemy and surrounding enemies."
PROPSKILL_TXT_000404,Raon's Fire
PROPSKILL_TXT_000405,Reduces fire resistance by 20%.
PROPSKILL_TXT_000406,Herness' Water
PROPSKILL_TXT_000407,Reduces water resistance by 20%.
PROPSKILL_TXT_000408,Ishirut's Spark
PROPSKILL_TXT_000409,Reduces electric resistance by 20%.
PROPSKILL_TXT_000410,Shelid's Earth
PROPSKILL_TXT_000411,Reduces earth resistance by 20%.
PROPSKILL_TXT_000412,Ipuli's Breath
PROPSKILL_TXT_000413,Reduces wind resistance by 20%.
PROPSKILL_TXT_100028,Lifesteal
PROPSKILL_TXT_100029,Mysterious Energy
PROPSKILL_TXT_100030,A mysterious magic energy is preventing you from moving.
PROPSKILL_TXT_100031,Bolstered
PROPSKILL_TXT_100032,Your defenses are enhanced.
PROPSKILL_TXT_100033,Explode
PROPSKILL_TXT_100034,Curse of the Drowned Rangda
PROPSKILL_TXT_100035,"Monsters have increased attack, but take increased damage."
PROPSKILL_TXT_100036,Shade's Cruel Bargain
PROPSKILL_TXT_100037,"Monsters explode on death, but have an increased drop rate."
PROPSKILL_TXT_100038,Iblis Touched
PROPSKILL_TXT_100039,"Monsters reflect damage, but have an increased drop rate."
PROPSKILL_TXT_100040,Rhisis' Assistance
PROPSKILL_TXT_100041,"Monsters regenerate a percentage of their HP per second, but grant increased EXP."
PROPSKILL_TXT_100042,"Monsters have increased movement speed, but take increased damage."
PROPSKILL_TXT_100043,Dagger from Within
PROPSKILL_TXT_100044,"Monsters have increased Critical Chance, but grant increased EXP."
PROPSKILL_TXT_100045,Phantom Pain
PROPSKILL_TXT_100046,"Monsters have a chance to strike twice, but have an increased drop rate."
PROPSKILL_TXT_100047,Drain of Iblis
PROPSKILL_TXT_100048,"Monsters gain lifesteal, but take increased damage."
PROPSKILL_TXT_100049,Shade's Adrenaline
PROPSKILL_TXT_100050,"Monsters have increased Attack Speed, but have an increased drop rate."
PROPSKILL_TXT_100051,Life-linked
PROPSKILL_TXT_100052,This entity cannot be defeated while its life-linked target remains above a certain HP threshold.
PROPSKILL_TXT_100053,Kraken's Revenge
PROPSKILL_TXT_100054,Rapidly regenerating HP due to rage.
PROPSKILL_TXT_100055,Ice Patch
PROPSKILL_TXT_100056,Slowed by an ice patch.
PROPSKILL_TXT_100057,Chill of the Ghostly Emperor
PROPSKILL_TXT_100058,The dungeon is covered in patches of ice that slow you down. Increased drop rate.
PROPSKILL_TXT_100059,Webbed
PROPSKILL_TXT_100060,A sticky web slows your movement.
PROPSKILL_TXT_100061,Battered
PROPSKILL_TXT_100062,A brutal strike has shattered your defenses. You take more damage than usual.
PROPSKILL_TXT_100063,Poisoned
PROPSKILL_TXT_100064,Reduces your HP Restoration.
PROPSKILL_TXT_100065,Misty Touch
PROPSKILL_TXT_100066,Reduces your accuracy.
PROPSKILL_TXT_100067,Hardened Carapace
PROPSKILL_TXT_100068,"The enemy anticipates your movements, reducing damage taken from your attacks."
PROPSKILL_TXT_100069,Mind Shatter
PROPSKILL_TXT_100070,"Your concentration has been shattered, reducing your magic damage."
PROPSKILL_TXT_100071,Undying
PROPSKILL_TXT_100072,Life-linked to another entity.
PROPSKILL_TXT_100073,Reflective Shell
PROPSKILL_TXT_100074,A portion of the damage you deal to this monster is reflected back to you.
PROPSKILL_TXT_100075,Siren's Call
PROPSKILL_TXT_100076,"The Siren draws you closer. Her pain is your pain, redirecting a portion of any damage dealt to her to you."
PROPSKILL_TXT_100077,Double Vision
PROPSKILL_TXT_100078,"Your perception fractures. You take double damage, but your damage against monsters is doubled."
PROPSKILL_TXT_100079,Pack Tactics
PROPSKILL_TXT_100080,This monster gains increased Attack while fighting alongside allies.
PROPSKILL_TXT_100081,"You are caught in a gravitational well, suffering damage over time and greatly reduced movement speed."
PROPSKILL_TXT_100082,"This monster steals your life force, but takes 5% more damage."
PROPSKILL_TXT_100083,Curse of the Demon Lord
PROPSKILL_TXT_100084,"The Demon Lord has cursed you with overwhelming exhaustion, greatly reducing Speed, Attack Speed, and Casting Speed, and lowering all stats."
PROPSKILL_TXT_100085,Blessing of the Golden Aibatt
PROPSKILL_TXT_100086,"Blessed by the Golden Aibatt's generosity, this monster grants 10% increased EXP and drop rates when defeated."
PROPSKILL_TXT_100087,Shade's Swiftness
PROPSKILL_TXT_100088,"Shade is a powerful god of fear and rage, and they grant this buff to players by imbuing them with a gust of wind that enhances their reflexes and allows them to move faster."
PROPSKILL_TXT_100089,Iblis' Fortitude
PROPSKILL_TXT_100090,"Iblis is a revered god of apathy and neutrality, and they grant this buff to players by infusing them with a burst of life energy that increases their maximum health and allows them to withstand more damage."
PROPSKILL_TXT_100091,Bubble's Bulwark
PROPSKILL_TXT_100092,"Bubble is a legendary god of joy and purity, and they grant this buff to players by creating a powerful shield that provides an extra layer of defense against enemy attacks."
PROPSKILL_TXT_100093,Guild's Enhancement
PROPSKILL_TXT_100094,Donate G-Tokens to your guild and upgrade this enhancement's level!
PROPSKILL_TXT_100095,Spiritual Overcharge
PROPSKILL_TXT_100096,Healing Grace
PROPSKILL_TXT_100097,Prankster's Escape
PROPSKILL_TXT_100098,Last Stand
PROPSKILL_TXT_100099,Aura Burst
PROPSKILL_TXT_100100,Supercharged
PROPSKILL_TXT_100101,Crackling energy envelops the target. Increases the Drop Chance and Experience of this monster by 10%.
PROPSKILL_TXT_100102,Static
PROPSKILL_TXT_100103,Sparks of power drain your strength. Run away to prevent it from spreading!
PROPSKILL_TXT_100104,Tethered
PROPSKILL_TXT_100105,You are bound by a tether! Create distance to break it!
PROPSKILL_TXT_100106,Slowed
PROPSKILL_TXT_100107,Waterbomb
PROPSKILL_TXT_100108,Jungle Fever
PROPSKILL_TXT_100109,"A disease spreads through your body. Hopefully, the fever breaks."
PROPSKILL_TXT_100110,PlayPark's Launch Buff
